acronym,expansion,file,sent_idx,sentence
DOG,Watchdog,2005 - clarus low.txt,11,"Clarus Weather System Design Detailed System Requirements Specification Table of Contents 1 INTRODUCTION.....................................................................................................1 1.1 Purpose............................................................................................................................................1 1.2 Scope................................................................................................................................................3 1.3 Definitions, Acronyms, and Abbreviations..................................................................................4 1.4 References.......................................................................................................................................5 1.5 Overview.........................................................................................................................................6 2 GENERAL DESCRIPTION....................................................................................8 2.1 System Perspective.........................................................................................................................8 2.2 System Functions..........................................................................................................................10 2.3 User Characteristics.....................................................................................................................15 2.4 General Constraints.....................................................................................................................19 2.5 Assumptions and Dependencies..................................................................................................20 3 SYSTEM ARCHITECTURE................................................................................21 4 SPECIFIC REQUIREMENTS..............................................................................23 4.1 Configuration & Administration Service (CAS).......................................................................28 4.2 Configuration & Administration User Interface (CAUI).........................................................33 4.3 Collector Services (CS)................................................................................................................36 4.4 Watchdog (DOG).........................................................................................................................45 4.5 Environmental Metadata Cache (EMC)....................................................................................46 4.6 Environmental Metadata Services (EMS)..................................................................................49 4.7 Manual Entry User Interface (MEUI)........................................................................................53 4.8 Qualified Environmental Data (QEDC).....................................................................................53 4.9 Qualified Environmental Data Services (QEDS).......................................................................56 4.10 Quality Checking Services (QChS).............................................................................................66 4.11 Schedule Service (SS)...................................................................................................................73 04037-rq301srs0200 Copyright © 2005 Mixon/Hill, Inc."
EMC,Environmental Metadata Cache,2005 - clarus low.txt,11,"Clarus Weather System Design Detailed System Requirements Specification Table of Contents 1 INTRODUCTION.....................................................................................................1 1.1 Purpose............................................................................................................................................1 1.2 Scope................................................................................................................................................3 1.3 Definitions, Acronyms, and Abbreviations..................................................................................4 1.4 References.......................................................................................................................................5 1.5 Overview.........................................................................................................................................6 2 GENERAL DESCRIPTION....................................................................................8 2.1 System Perspective.........................................................................................................................8 2.2 System Functions..........................................................................................................................10 2.3 User Characteristics.....................................................................................................................15 2.4 General Constraints.....................................................................................................................19 2.5 Assumptions and Dependencies..................................................................................................20 3 SYSTEM ARCHITECTURE................................................................................21 4 SPECIFIC REQUIREMENTS..............................................................................23 4.1 Configuration & Administration Service (CAS).......................................................................28 4.2 Configuration & Administration User Interface (CAUI).........................................................33 4.3 Collector Services (CS)................................................................................................................36 4.4 Watchdog (DOG).........................................................................................................................45 4.5 Environmental Metadata Cache (EMC)....................................................................................46 4.6 Environmental Metadata Services (EMS)..................................................................................49 4.7 Manual Entry User Interface (MEUI)........................................................................................53 4.8 Qualified Environmental Data (QEDC).....................................................................................53 4.9 Qualified Environmental Data Services (QEDS).......................................................................56 4.10 Quality Checking Services (QChS).............................................................................................66 4.11 Schedule Service (SS)...................................................................................................................73 04037-rq301srs0200 Copyright © 2005 Mixon/Hill, Inc."
EMS,Environmental Metadata Services,2005 - clarus low.txt,11,"Clarus Weather System Design Detailed System Requirements Specification Table of Contents 1 INTRODUCTION.....................................................................................................1 1.1 Purpose............................................................................................................................................1 1.2 Scope................................................................................................................................................3 1.3 Definitions, Acronyms, and Abbreviations..................................................................................4 1.4 References.......................................................................................................................................5 1.5 Overview.........................................................................................................................................6 2 GENERAL DESCRIPTION....................................................................................8 2.1 System Perspective.........................................................................................................................8 2.2 System Functions..........................................................................................................................10 2.3 User Characteristics.....................................................................................................................15 2.4 General Constraints.....................................................................................................................19 2.5 Assumptions and Dependencies..................................................................................................20 3 SYSTEM ARCHITECTURE................................................................................21 4 SPECIFIC REQUIREMENTS..............................................................................23 4.1 Configuration & Administration Service (CAS).......................................................................28 4.2 Configuration & Administration User Interface (CAUI).........................................................33 4.3 Collector Services (CS)................................................................................................................36 4.4 Watchdog (DOG).........................................................................................................................45 4.5 Environmental Metadata Cache (EMC)....................................................................................46 4.6 Environmental Metadata Services (EMS)..................................................................................49 4.7 Manual Entry User Interface (MEUI)........................................................................................53 4.8 Qualified Environmental Data (QEDC).....................................................................................53 4.9 Qualified Environmental Data Services (QEDS).......................................................................56 4.10 Quality Checking Services (QChS).............................................................................................66 4.11 Schedule Service (SS)...................................................................................................................73 04037-rq301srs0200 Copyright © 2005 Mixon/Hill, Inc."
MEUI,Manual Entry User Interface,2005 - clarus low.txt,11,"Clarus Weather System Design Detailed System Requirements Specification Table of Contents 1 INTRODUCTION.....................................................................................................1 1.1 Purpose............................................................................................................................................1 1.2 Scope................................................................................................................................................3 1.3 Definitions, Acronyms, and Abbreviations..................................................................................4 1.4 References.......................................................................................................................................5 1.5 Overview.........................................................................................................................................6 2 GENERAL DESCRIPTION....................................................................................8 2.1 System Perspective.........................................................................................................................8 2.2 System Functions..........................................................................................................................10 2.3 User Characteristics.....................................................................................................................15 2.4 General Constraints.....................................................................................................................19 2.5 Assumptions and Dependencies..................................................................................................20 3 SYSTEM ARCHITECTURE................................................................................21 4 SPECIFIC REQUIREMENTS..............................................................................23 4.1 Configuration & Administration Service (CAS).......................................................................28 4.2 Configuration & Administration User Interface (CAUI).........................................................33 4.3 Collector Services (CS)................................................................................................................36 4.4 Watchdog (DOG).........................................................................................................................45 4.5 Environmental Metadata Cache (EMC)....................................................................................46 4.6 Environmental Metadata Services (EMS)..................................................................................49 4.7 Manual Entry User Interface (MEUI)........................................................................................53 4.8 Qualified Environmental Data (QEDC).....................................................................................53 4.9 Qualified Environmental Data Services (QEDS).......................................................................56 4.10 Quality Checking Services (QChS).............................................................................................66 4.11 Schedule Service (SS)...................................................................................................................73 04037-rq301srs0200 Copyright © 2005 Mixon/Hill, Inc."
QEDC,Qualified Environmental Data,2005 - clarus low.txt,11,"Clarus Weather System Design Detailed System Requirements Specification Table of Contents 1 INTRODUCTION.....................................................................................................1 1.1 Purpose............................................................................................................................................1 1.2 Scope................................................................................................................................................3 1.3 Definitions, Acronyms, and Abbreviations..................................................................................4 1.4 References.......................................................................................................................................5 1.5 Overview.........................................................................................................................................6 2 GENERAL DESCRIPTION....................................................................................8 2.1 System Perspective.........................................................................................................................8 2.2 System Functions..........................................................................................................................10 2.3 User Characteristics.....................................................................................................................15 2.4 General Constraints.....................................................................................................................19 2.5 Assumptions and Dependencies..................................................................................................20 3 SYSTEM ARCHITECTURE................................................................................21 4 SPECIFIC REQUIREMENTS..............................................................................23 4.1 Configuration & Administration Service (CAS).......................................................................28 4.2 Configuration & Administration User Interface (CAUI).........................................................33 4.3 Collector Services (CS)................................................................................................................36 4.4 Watchdog (DOG).........................................................................................................................45 4.5 Environmental Metadata Cache (EMC)....................................................................................46 4.6 Environmental Metadata Services (EMS)..................................................................................49 4.7 Manual Entry User Interface (MEUI)........................................................................................53 4.8 Qualified Environmental Data (QEDC).....................................................................................53 4.9 Qualified Environmental Data Services (QEDS).......................................................................56 4.10 Quality Checking Services (QChS).............................................................................................66 4.11 Schedule Service (SS)...................................................................................................................73 04037-rq301srs0200 Copyright © 2005 Mixon/Hill, Inc."
QEDS,Qualified Environmental Data Services,2005 - clarus low.txt,11,"Clarus Weather System Design Detailed System Requirements Specification Table of Contents 1 INTRODUCTION.....................................................................................................1 1.1 Purpose............................................................................................................................................1 1.2 Scope................................................................................................................................................3 1.3 Definitions, Acronyms, and Abbreviations..................................................................................4 1.4 References.......................................................................................................................................5 1.5 Overview.........................................................................................................................................6 2 GENERAL DESCRIPTION....................................................................................8 2.1 System Perspective.........................................................................................................................8 2.2 System Functions..........................................................................................................................10 2.3 User Characteristics.....................................................................................................................15 2.4 General Constraints.....................................................................................................................19 2.5 Assumptions and Dependencies..................................................................................................20 3 SYSTEM ARCHITECTURE................................................................................21 4 SPECIFIC REQUIREMENTS..............................................................................23 4.1 Configuration & Administration Service (CAS).......................................................................28 4.2 Configuration & Administration User Interface (CAUI).........................................................33 4.3 Collector Services (CS)................................................................................................................36 4.4 Watchdog (DOG).........................................................................................................................45 4.5 Environmental Metadata Cache (EMC)....................................................................................46 4.6 Environmental Metadata Services (EMS)..................................................................................49 4.7 Manual Entry User Interface (MEUI)........................................................................................53 4.8 Qualified Environmental Data (QEDC).....................................................................................53 4.9 Qualified Environmental Data Services (QEDS).......................................................................56 4.10 Quality Checking Services (QChS).............................................................................................66 4.11 Schedule Service (SS)...................................................................................................................73 04037-rq301srs0200 Copyright © 2005 Mixon/Hill, Inc."
SS,Schedule Service,2005 - clarus low.txt,11,"Clarus Weather System Design Detailed System Requirements Specification Table of Contents 1 INTRODUCTION.....................................................................................................1 1.1 Purpose............................................................................................................................................1 1.2 Scope................................................................................................................................................3 1.3 Definitions, Acronyms, and Abbreviations..................................................................................4 1.4 References.......................................................................................................................................5 1.5 Overview.........................................................................................................................................6 2 GENERAL DESCRIPTION....................................................................................8 2.1 System Perspective.........................................................................................................................8 2.2 System Functions..........................................................................................................................10 2.3 User Characteristics.....................................................................................................................15 2.4 General Constraints.....................................................................................................................19 2.5 Assumptions and Dependencies..................................................................................................20 3 SYSTEM ARCHITECTURE................................................................................21 4 SPECIFIC REQUIREMENTS..............................................................................23 4.1 Configuration & Administration Service (CAS).......................................................................28 4.2 Configuration & Administration User Interface (CAUI).........................................................33 4.3 Collector Services (CS)................................................................................................................36 4.4 Watchdog (DOG).........................................................................................................................45 4.5 Environmental Metadata Cache (EMC)....................................................................................46 4.6 Environmental Metadata Services (EMS)..................................................................................49 4.7 Manual Entry User Interface (MEUI)........................................................................................53 4.8 Qualified Environmental Data (QEDC).....................................................................................53 4.9 Qualified Environmental Data Services (QEDS).......................................................................56 4.10 Quality Checking Services (QChS).............................................................................................66 4.11 Schedule Service (SS)...................................................................................................................73 04037-rq301srs0200 Copyright © 2005 Mixon/Hill, Inc."
DRS,the Detailed Systems Requirements Specification,2005 - clarus low.txt,20,"As indicated in the highlighted box in Figure 1, the Detailed Systems Requirements Specification (DRS) is an intermediate deliverable in the larger context of the Clarus Weather System Design project, using criteria documented in the Concept of Operations, High-Level Requirements Specification, Survey of Environmental Sensor Stations, Analysis of COTS Systems, Analysis Architectural Alternatives Analysis, and the Design Gaps Analysis as input to the DRS."
NOAA,The National Oceanic and Atmospheric Administration,2005 - clarus low.txt,48,"The following is an initial list — which will likely grow as the initiative progresses — of these stakeholders: • Observation system owners including federal, state, local, and private institutions; • Instrument and observation platform suppliers; • Direct data users including system owners and their contractors; • Surface transportation weather service providers (which may include the observation system owners – e.g., state DOTs); • The National Oceanic and Atmospheric Administration (NOAA); • General weather service providers; • Research and engineering community; and • Climate data warehouse and other non-surface weather interests."
ICC,Clarus Initiative Coordinating Committee,2005 - clarus low.txt,62,"Clarus Initiative Coordinating Committee (ICC) Management Plan (Revision 1); James Pol, U.S."
RWIS,Road Weather Information Systems,2005 - clarus low.txt,75,Road Weather Information Systems (RWIS) Data Integration Guidelines; Castle Rock Consultants; October 2002.
ESS,These environmental data elements are described in the NTCIP 1204 standard for Environmental Sensor Station,2005 - clarus low.txt,168,These environmental data elements are described in the NTCIP 1204 standard for Environmental Sensor Station (ESS) interfaces (Ref.
STWDSR,From information in the Surface Transportation Weather Decision Support Requirements,2005 - clarus low.txt,194,From information in the Surface Transportation Weather Decision Support Requirements (STWDSR) (Ref.
WIST,Weather Information for Surface Transportation,2005 - clarus low.txt,195,"5), Weather Information for Surface Transportation (WIST) (Ref."
CCTV,Additional data from this group may include closed circuit television,2005 - clarus low.txt,230,"Additional data from this group may include closed circuit television (CCTV) images, road condition information, and records of treatment activities such as plowing and chemical application."
STWSP,Surface Transportation Weather Service Providers,2005 - clarus low.txt,237,• Surface Transportation Weather Service Providers (STWSP) – These surface transportation weather service providers are the private and public weather service providers who assimilate the Clarus data with other available data to generate value-added products and services used by the surface transportation decision-makers at state and local transportation agencies.
NWS,This group includes the efforts in public forecasting by NOAA and the National Weather Service,2005 - clarus low.txt,239,"This group includes the efforts in public forecasting by NOAA and the National Weather Service (NWS) along 04037-rq301srs0200 Copyright © 2005 Mixon/Hill, Inc."
ITS,Special consideration should be given to the national intelligent transportation system,2005 - clarus low.txt,259,Special consideration should be given to the national intelligent transportation system (ITS) standards.
DST,particularly if contributing systems cannot manage Daylight Savings Time,2005 - clarus low.txt,280,"The availability, format, and precision of time/date stamps could also present unusual problems for the data acquisition system, particularly if contributing systems cannot manage Daylight Savings Time (DST), span time zones, or span areas that do and do not participate in DST."
UTC,database and in published data sets need to be referenced to a standard time reference such as Coordinated Universal Time,2005 - clarus low.txt,281,Clarus timestamps for data in the database and in published data sets need to be referenced to a standard time reference such as Coordinated Universal Time (UTC).
TMDD,Functional Level Traffic Management Data Dictionary,2005 - clarus low.txt,545,"H-012 The Clarus system data definitions Task Force CS, QEDS H shall be consistent with the ITE review TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD)."
QCS,sends environmental data to Quality Checking Services,2005 - clarus low.txt,675,"The QEDC receives environmental data from the Collector Services (CS), stores qualified environmental data, sends environmental data to Quality Checking Services (QCS), receives quality checked environmental data from QCS, receives requests from the Qualified Environmental Data Services (QEDS), and sends qualified environmental data in response to Qualified Environmental Data Services’ request."
QC,for Quality Control,2005 - clarus low.txt,950,for Quality Control (QC)/Quality Assurance (QA) shall be named.
QA,Quality Assurance,2005 - clarus low.txt,950,for Quality Control (QC)/Quality Assurance (QA) shall be named.
NIST,according to Government IT security requirements as outlined in the National Institute of Standards and Technology,2005 - clarus low.txt,1021,"X-611 The Clarus program shall Contract H operate according to Government IT security requirements as outlined in the National Institute of Standards and Technology (NIST) Guidelines, Departmental Information Resource Management Manual, and associated guidelines."
NCSA,a data file format developed at the National Center for Supercomputing Applications,2005 - clarus low.txt,1055,"ESS Environmental Sensor Station External data Weather data used to assist in quality checking such as ASOS and climate records FHWA Federal Highway Administration GPS Global Positioning System HDF Hierarchical Data Format; a data file format developed at the National Center for Supercomputing Applications (NCSA) (http://hdf.ncsa.uiuc.edu/) hPa hectopascal = 100 Pascals = 1 millibar HTML Hypertext Markup Language ICC (Clarus) Initiative Coordinating Committee IEEE Institute of Electrical and Electronic Engineers, Inc."
VMUS,Voucher Management Unit System,2005 - microcare.txt,0,Software Requirements Specification For Voucher Management System Version 1.0 approved Prepared by Microcare Ltd - Team 01 December 2005 Copyright © 2005 by Microcare Ltd Software Requirement Specification for VMUS (Voucher Management Unit System) Page 1 of 33 Revision History Name Date Reason For Changes Version Copyright © 2005 by Microcare Ltd Software Requirement Specification for VMUS (Voucher Management Unit System) Page 2 of 33 Table of content Content Page No 1.
VB,visual basic,2005 - microcare.txt,18,Introduction 1.1 General overview of the VMUS (Voucher Maintenance Unit System) System Development: The system will be developed on Oracle 9i platform Front end will be VB (visual basic) Reports will be crystal reports 9 System design: The system will be user friendly with maximum master table structure with all transaction screens to have drop down selection menus to minimize data entry errors.
VMU,Purpose The purpose of this document is to explain the flow and the requirement of Voucher Management System,2005 - microcare.txt,31,Functional Flow Diagram: Copyright © 2005 by Microcare Ltd Software Requirement Specification for VMUS (Voucher Management Unit System) Page 5 of 33 1.2 Purpose The purpose of this document is to explain the flow and the requirement of Voucher Management System (VMU) required by Marie Stopes International Uganda (MSIU) during the various meetings held between MSIU and Microcare from 28th of Nov 2005 to 30th of Nov 2005.
MSIU,required by Marie Stopes International Uganda,2005 - microcare.txt,31,Functional Flow Diagram: Copyright © 2005 by Microcare Ltd Software Requirement Specification for VMUS (Voucher Management Unit System) Page 5 of 33 1.2 Purpose The purpose of this document is to explain the flow and the requirement of Voucher Management System (VMU) required by Marie Stopes International Uganda (MSIU) during the various meetings held between MSIU and Microcare from 28th of Nov 2005 to 30th of Nov 2005.
OBA,about MSIU and OBA Program The concept of Output-based Aid,2005 - microcare.txt,37,"1.3.1 about MSIU and OBA Program The concept of Output-based Aid (OBA) Past experiences with development aid showed, that financing inputs, e.g."
BCC,The VMU runs a marketing and behavioural change campaign,2005 - microcare.txt,48,The VMU runs a marketing and behavioural change campaign (BCC) to market and inform about the voucher services and how to use them.
NTA,STD treatment according to the National Treatment Algorithms for STD in Uganda,2005 - microcare.txt,56,"STD treatment according to the National Treatment Algorithms for STD in Uganda (NTA), adapted for this voucher scheme (TA-OBA, treatment algorithms for STD treatment in the OBA scheme), is given to clients for free for the syndromes of 1."
CPA,respectively the claims processing agency,2005 - microcare.txt,68,At the end of each month they hand in – respectively the claims processing agency (CPA) collects – (cid:131) The voucher for each patient Copyright © 2005 by Microcare Ltd Software Requirement Specification for VMUS (Voucher Management Unit System) Page 8 of 33 (cid:131) The standardised patient treatment documentation form for each patient and (cid:131) A summary claims form containing a summary of all treated voucher cases to the VMU for reimbursement.
MRP,maximum retail price,2005 - microcare.txt,108,• Voucher will also have MRP (maximum retail price) • Voucher should have three tear off portioned slips with a sub-section tear-off for the partner.
VSP,Service Provider,2005 - microcare.txt,171,− The service (treatment) will happen at the VSP (Service Provider) clinic or hospital − The attending doctor will fill the claims form.
NCCM,Child Care Management,2005 - nenios.txt,6,Introduction 1.1 Goals and objectives The purpose of this document is to describe requirements for the Neï¿½ios Child Care Management (NCCM) software that will serve as a foundation for the final product.
PHIN,INTRODUCTION This document describes the Public Health Information Network,2005 - phin.txt,0,"PHIN Preparedness OUTBREAK MANAGEMENT FUNCTIONAL REQUIREMENTS Version 1.0 4/26/2005 Outbreak Management Functional Requirements Version: 1.0 TABLE OF CONTENTS 1 INTRODUCTION....................................................................................................................3 2 OUTBREAK MANAGEMENT FUNCTIONAL REQUIREMENTS................................4 2.1 System Architecture..................................................................................................4 2.2 Data Requirements....................................................................................................5 2.2.1 Entity Data.................................................................................................................5 2.2.2 Health Event Data.....................................................................................................6 2.2.3 Travel History and Conveyance Data.......................................................................6 2.2.4 Case Investigation and Exposure Contact Data........................................................7 2.2.5 Monitoring and Follow-up Data................................................................................8 2.2.6 Specimen/Sample Collection and Laboratory Response Data..................................9 2.2.7 Prophylaxis and Treatment Data.............................................................................11 2.2.8 Adverse Event Data.................................................................................................11 2.2.9 Activity Logging Data.............................................................................................11 2.3 System Functions and Behaviors............................................................................11 2.3.1 Case Investigation...................................................................................................11 2.3.2 Linking....................................................................................................................12 2.3.3 Contact Exposure Tracing.......................................................................................12 2.4 Analysis, Visualization, and Report Generation.....................................................13 2.5 System Integration and Data Exchange..................................................................14 2.6 Vocabulary Standards.............................................................................................15 2.7 Operations...............................................................................................................16 2.8 System Security and Availability............................................................................16 2.9 Privacy.....................................................................................................................16 Revision Date: 4/28/2005 Page 2 of 16 OM_RSv1.0 FINAL.doc Outbreak Management Functional Requirements Version: 1.0 1 INTRODUCTION This document describes the Public Health Information Network (PHIN) functional requirements for systems implemented to participate in the management of outbreaks and other health events."
OM,Outbreak Management,2005 - phin.txt,1,"Outbreak Management (OM) is the PHIN functional area intended to support the needs of investigation, monitoring, management, analysis, and reporting of a health event or act of bioterrorism."
LOINC,test type,2005 - phin.txt,102,"Examples of this data include the Specimen ID, Subject ID, test date and time, test type (LOINC), data for each organization involved in the testing of the specimen/sample (e.g., testing or reference laboratory name, location, contact information), laboratory results and result values (SNOMED), other data such as unit of measure for result value, overall interpretation, and any relevant notes."
SNOMED,laboratory results and result values,2005 - phin.txt,102,"Examples of this data include the Specimen ID, Subject ID, test date and time, test type (LOINC), data for each organization involved in the testing of the specimen/sample (e.g., testing or reference laboratory name, location, contact information), laboratory results and result values (SNOMED), other data such as unit of measure for result value, overall interpretation, and any relevant notes."
EED,early event detection,2005 - phin.txt,163,"2.5.6 Systems supporting OM should be able to exchange messages for laboratory results with systems supporting surveillance, early event detection (EED), and other preparedness areas."
AASHTO,final report prepared for American Association of State Highway and Transportation Officials,2005 - pontis.txt,0,"Pontis 5.0 Bridge Management System Functional Requirements Specification v1.0 final report prepared for American Association of State Highway and Transportation Officials (AASHTO) prepared by Cambridge Systematics, Inc."
FRS,Introduction This report documents the functional requirements specification,2005 - pontis.txt,15,"iii Pontis 5.0 Functional Requirements Specification v1.0 1.0 Introduction This report documents the functional requirements specification (FRS) for the next generation of the Pontis Bridge Management System (BMS), referred to as Pontis 5.0 throughout."
BMS,for the next generation of the Pontis Bridge Management System,2005 - pontis.txt,15,"iii Pontis 5.0 Functional Requirements Specification v1.0 1.0 Introduction This report documents the functional requirements specification (FRS) for the next generation of the Pontis Bridge Management System (BMS), referred to as Pontis 5.0 throughout."
TAD,and a Technical Architecture Description,2005 - pontis.txt,22,"Preliminary work has been performed to outline the technical architecture for Pontis 5.0, and a Technical Architecture Description (TAD) was developed in 2003.1 The TAD presents a future vision for the project, emphasizing a web application, an advanced database architecture, maximum reuse of user reports and forms, and a flexible, extensible user interface."
TAG,input from a set of bridge management and information systems experts who will serve as a Technical Advisory Group,2005 - pontis.txt,31,"To that end, the BRIDGEWare Task Force has designated the contractor, Cambridge Systematics, to undertake a requirements gathering process with guidance and substantive input from a set of bridge management and information systems experts who will serve as a Technical Advisory Group (TAG)."
XML,import and export of data in eXstensible Markup Language,2005 - pontis.txt,44,"Pontis 5.0 will support a range of new functionality, including: import and export of data in eXstensible Markup Language (XML) based on the TransXML schema being developed through National Cooperative Highway Research Program (NCHRP) Project 20-64, XML Schemas for Exchange of Transportation Data (TransXML); improved approaches to modeling bridge needs through incorporation of research results from NCHRP 12-67, Multiple-Objective Optimization for Bridge Management Systems; improved user interfaces for bridge-level analysis and project planning; and support for multiple asset types."
NCHRP,based on the TransXML schema being developed through National Cooperative Highway Research Program,2005 - pontis.txt,44,"Pontis 5.0 will support a range of new functionality, including: import and export of data in eXstensible Markup Language (XML) based on the TransXML schema being developed through National Cooperative Highway Research Program (NCHRP) Project 20-64, XML Schemas for Exchange of Transportation Data (TransXML); improved approaches to modeling bridge needs through incorporation of research results from NCHRP 12-67, Multiple-Objective Optimization for Bridge Management Systems; improved user interfaces for bridge-level analysis and project planning; and support for multiple asset types."
NBI,will provide seamless support to its licensees for potential changes in the National Bridge Inventory,2005 - pontis.txt,45,"Further, Pontis 5.0 will provide seamless support to its licensees for potential changes in the National Bridge Inventory (NBI) coding standards."
RDBMS,high-quality relational database management system,2005 - pontis.txt,50,"Robust means that: a) the repository is built on a commercial, high-quality relational database management system (RDBMS); b) the information contained in the system is secure, with access limited to appropriate staff and agency- designated parties; c) information contained in the system can be backed up in a secure location on a regular schedule; and d) the system is reliable and in operation at an acceptable levels of availability and performance."
CLR,NET Framework and the common language runtime,2005 - pontis.txt,101,• The server application will expect and rely on the .NET Framework and the common language runtime (CLR).
ADA,American Disabilities Act,2005 - pontis.txt,134,• Pontis 5.0 American Disabilities Act (ADA) compliance9 constraints on the functional requirements will be determined by AASHTO in consultation with its member agencies.
GUI,user shall be able to view the data stored in the Physical Inventory tables through the Pontis graphical user interface,2005 - pontis.txt,262,4.1 BROWSE DATA UC-1 View Bridge Data 1.1 The user shall be able to view the data stored in the Physical Inventory tables through the Pontis graphical user interface (GUI).
SOAP,Simple Object Access Protocol,2005 - pontis.txt,471,"25 Web service and SOAP (Simple Object Access Protocol) will likely be used for these interfaces Cambridge Systematics, Inc."
W3C,LOOK AND FEEL REQUIREMENTS The EIM&DSS design will be informed by World Wide Web Consortium,2005 - pontis.txt,486,Pontis 5.0 Functional Requirements Specification v1.0 5.0 Non-Functional Requirements 5.1 LOOK AND FEEL REQUIREMENTS The EIM&DSS design will be informed by World Wide Web Consortium (W3C) design guidelines26 and conform to common industry practices for user interaction behavior and user interface design.
ASPNET,The Pontis application server,2005 - pontis.txt,557,The Pontis application server (ASP.NET) software will run on a server located within a (presumably) secure facility at each agency.
